Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 82.8369 	  avgScore:0
gen.#1 	meanS: 66.8347 	  avgScore:2
gen.#2 	meanS: 58.0662 	  avgScore:8
gen.#3 	meanS: 50.8322 	  avgScore:19
gen.#4 	meanS: 47.6021 	  avgScore:31
gen.#5 	meanS: 38.1012 	  avgScore:40
gen.#6 	meanS: 30.4735 	  avgScore:47
gen.#7 	meanS: 26.3511 	  avgScore:60
gen.#8 	meanS: 26.7119 	  avgScore:69
gen.#9 	meanS: 24.1721 	  avgScore:75
gen.#10 	meanS: 22.7219 	  avgScore:79
gen.#11 	meanS: 19.3649 	  avgScore:82
gen.#12 	meanS: 16.0292 	  avgScore:91
gen.#13 	meanS: 14.9323 	  avgScore:89
gen.#14 	meanS: 12.1414 	  avgScore:90
gen.#15 	meanS: 10.4523 	  avgScore:92
gen.#16 	meanS:  9.0289 	  avgScore:100
gen.#17 	meanS:  7.7066 	  avgScore:106
gen.#18 	meanS:  6.5753 	  avgScore:105
gen.#19 	meanS:  5.4924 	  avgScore:107
gen.#20 	meanS:  4.9012 	  avgScore:110
gen.#21 	meanS:  4.8616 	  avgScore:105
gen.#22 	meanS:  4.2874 	  avgScore:109
gen.#23 	meanS:  3.7869 	  avgScore:109
gen.#24 	meanS:  4.2000 	  avgScore:115
gen.#25 	meanS:  3.6276 	  avgScore:115
gen.#26 	meanS:  3.1808 	  avgScore:119
gen.#27 	meanS:  3.0101 	  avgScore:120
gen.#28 	meanS:  2.7387 	  avgScore:119
gen.#29 	meanS:  2.5043 	  avgScore:119
gen.#30 	meanS:  2.1947 	  avgScore:116
gen.#31 	meanS:  2.0681 	  avgScore:115
gen.#32 	meanS:  2.6357 	  avgScore:117
gen.#33 	meanS:  2.2694 	  avgScore:120
gen.#34 	meanS:  2.3929 	  avgScore:120
gen.#35 	meanS:  2.3592 	  avgScore:121
gen.#36 	meanS:  2.3507 	  avgScore:120
gen.#37 	meanS:  1.7683 	  avgScore:123
gen.#38 	meanS:  1.5705 	  avgScore:119
gen.#39 	meanS:  1.5868 	  avgScore:125
gen.#40 	meanS:  1.5282 	  avgScore:124
gen.#41 	meanS:  1.7331 	  avgScore:124
gen.#42 	meanS:  1.4951 	  avgScore:126
gen.#43 	meanS:  1.4107 	  avgScore:127
gen.#44 	meanS:  1.3543 	  avgScore:125
gen.#45 	meanS:  1.1317 	  avgScore:127
gen.#46 	meanS:  0.8471 	  avgScore:127
gen.#47 	meanS:  0.7427 	  avgScore:127
gen.#48 	meanS:  0.6076 	  avgScore:130
gen.#49 	meanS:  0.5645 	  avgScore:129
