Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS: 86.5787 	  avgScore:0
gen.#1 	meanS: 80.6580 	  avgScore:1
gen.#2 	meanS: 71.2043 	  avgScore:4
gen.#3 	meanS: 61.9149 	  avgScore:8
gen.#4 	meanS: 52.9810 	  avgScore:13
gen.#5 	meanS: 42.1953 	  avgScore:20
gen.#6 	meanS: 34.6005 	  avgScore:27
gen.#7 	meanS: 34.0468 	  avgScore:35
gen.#8 	meanS: 32.9217 	  avgScore:39
gen.#9 	meanS: 26.9946 	  avgScore:44
gen.#10 	meanS: 25.6873 	  avgScore:50
gen.#11 	meanS: 25.7120 	  avgScore:57
gen.#12 	meanS: 21.6758 	  avgScore:57
gen.#13 	meanS: 21.4125 	  avgScore:64
gen.#14 	meanS: 23.4322 	  avgScore:66
gen.#15 	meanS: 22.0371 	  avgScore:73
gen.#16 	meanS: 20.2805 	  avgScore:79
gen.#17 	meanS: 18.4451 	  avgScore:82
gen.#18 	meanS: 13.1410 	  avgScore:89
gen.#19 	meanS: 14.5650 	  avgScore:89
gen.#20 	meanS: 18.4789 	  avgScore:96
gen.#21 	meanS: 18.2949 	  avgScore:93
gen.#22 	meanS: 14.9071 	  avgScore:99
gen.#23 	meanS: 11.5606 	  avgScore:105
gen.#24 	meanS: 10.6457 	  avgScore:106
gen.#25 	meanS:  8.9986 	  avgScore:104
gen.#26 	meanS:  9.1808 	  avgScore:113
gen.#27 	meanS: 10.7181 	  avgScore:112
gen.#28 	meanS:  9.1265 	  avgScore:112
gen.#29 	meanS:  9.5463 	  avgScore:116
gen.#30 	meanS:  8.9415 	  avgScore:115
gen.#31 	meanS:  8.9043 	  avgScore:114
gen.#32 	meanS:  8.0219 	  avgScore:114
gen.#33 	meanS:  5.9009 	  avgScore:117
gen.#34 	meanS:  7.5451 	  avgScore:119
gen.#35 	meanS:  7.8699 	  avgScore:117
gen.#36 	meanS:  6.3230 	  avgScore:119
gen.#37 	meanS:  4.5767 	  avgScore:121
gen.#38 	meanS:  4.3639 	  avgScore:120
gen.#39 	meanS:  4.6692 	  avgScore:124
gen.#40 	meanS:  4.7730 	  avgScore:119
gen.#41 	meanS:  3.9923 	  avgScore:127
gen.#42 	meanS:  3.0573 	  avgScore:127
gen.#43 	meanS:  2.8524 	  avgScore:127
gen.#44 	meanS:  4.0688 	  avgScore:128
gen.#45 	meanS:  3.7506 	  avgScore:122
gen.#46 	meanS: 11.7359 	  avgScore:126
gen.#47 	meanS: 12.6622 	  avgScore:115
gen.#48 	meanS:  9.7971 	  avgScore:116
gen.#49 	meanS:  8.5414 	  avgScore:119
