Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 90.1662 	  avgScore:0
gen.#1 	meanS: 66.6214 	  avgScore:3
gen.#2 	meanS: 58.9946 	  avgScore:10
gen.#3 	meanS: 47.7916 	  avgScore:20
gen.#4 	meanS: 44.5697 	  avgScore:30
gen.#5 	meanS: 42.3535 	  avgScore:35
gen.#6 	meanS: 41.0192 	  avgScore:42
gen.#7 	meanS: 35.2140 	  avgScore:43
gen.#8 	meanS: 30.7727 	  avgScore:52
gen.#9 	meanS: 29.8213 	  avgScore:57
gen.#10 	meanS: 26.0122 	  avgScore:59
gen.#11 	meanS: 22.2971 	  avgScore:63
gen.#12 	meanS: 21.1690 	  avgScore:71
gen.#13 	meanS: 18.1257 	  avgScore:72
gen.#14 	meanS: 20.5336 	  avgScore:81
gen.#15 	meanS: 17.6890 	  avgScore:81
gen.#16 	meanS: 15.7631 	  avgScore:82
gen.#17 	meanS: 15.3961 	  avgScore:87
gen.#18 	meanS: 14.0459 	  avgScore:88
gen.#19 	meanS: 13.6605 	  avgScore:88
gen.#20 	meanS: 11.1087 	  avgScore:92
gen.#21 	meanS: 10.8183 	  avgScore:91
gen.#22 	meanS: 10.6637 	  avgScore:94
gen.#23 	meanS: 11.9093 	  avgScore:99
gen.#24 	meanS: 11.5704 	  avgScore:100
gen.#25 	meanS: 12.2708 	  avgScore:101
gen.#26 	meanS: 10.5729 	  avgScore:102
gen.#27 	meanS: 10.1486 	  avgScore:106
gen.#28 	meanS:  8.7717 	  avgScore:107
gen.#29 	meanS:  7.9035 	  avgScore:113
gen.#30 	meanS:  7.5206 	  avgScore:113
gen.#31 	meanS:  7.4613 	  avgScore:116
gen.#32 	meanS:  7.9661 	  avgScore:116
gen.#33 	meanS:  6.5581 	  avgScore:117
gen.#34 	meanS:  5.3863 	  avgScore:122
gen.#35 	meanS:  5.5936 	  avgScore:125
gen.#36 	meanS:  5.9227 	  avgScore:122
gen.#37 	meanS:  5.7548 	  avgScore:123
gen.#38 	meanS:  5.1164 	  avgScore:126
gen.#39 	meanS:  4.6935 	  avgScore:125
gen.#40 	meanS:  4.5266 	  avgScore:124
gen.#41 	meanS:  4.0449 	  avgScore:127
gen.#42 	meanS:  3.9384 	  avgScore:128
gen.#43 	meanS:  3.7742 	  avgScore:126
gen.#44 	meanS:  3.0062 	  avgScore:127
gen.#45 	meanS:  2.5825 	  avgScore:130
gen.#46 	meanS:  2.1882 	  avgScore:129
gen.#47 	meanS:  1.8799 	  avgScore:130
gen.#48 	meanS:  1.7502 	  avgScore:132
gen.#49 	meanS:  1.9834 	  avgScore:129
