Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS: 86.8958 	  avgScore:0
gen.#1 	meanS: 76.4443 	  avgScore:2
gen.#2 	meanS: 60.0175 	  avgScore:5
gen.#3 	meanS: 51.3458 	  avgScore:10
gen.#4 	meanS: 46.5750 	  avgScore:16
gen.#5 	meanS: 36.5590 	  avgScore:21
gen.#6 	meanS: 31.3556 	  avgScore:31
gen.#7 	meanS: 31.6247 	  avgScore:38
gen.#8 	meanS: 24.7419 	  avgScore:41
gen.#9 	meanS: 18.7474 	  avgScore:49
gen.#10 	meanS: 15.5286 	  avgScore:59
gen.#11 	meanS: 15.4431 	  avgScore:68
gen.#12 	meanS: 13.3173 	  avgScore:69
gen.#13 	meanS: 11.4060 	  avgScore:78
gen.#14 	meanS:  9.7247 	  avgScore:79
gen.#15 	meanS: 10.5968 	  avgScore:85
gen.#16 	meanS: 10.6319 	  avgScore:86
gen.#17 	meanS:  8.2776 	  avgScore:85
gen.#18 	meanS:  6.4791 	  avgScore:88
gen.#19 	meanS:  5.6628 	  avgScore:95
gen.#20 	meanS:  6.1756 	  avgScore:98
gen.#21 	meanS:  5.6210 	  avgScore:98
gen.#22 	meanS:  4.9796 	  avgScore:103
gen.#23 	meanS:  4.5414 	  avgScore:102
gen.#24 	meanS:  3.8989 	  avgScore:103
gen.#25 	meanS:  4.0246 	  avgScore:104
gen.#26 	meanS:  3.7937 	  avgScore:103
gen.#27 	meanS:  3.3221 	  avgScore:104
gen.#28 	meanS:  3.0498 	  avgScore:108
gen.#29 	meanS:  2.6999 	  avgScore:109
gen.#30 	meanS:  2.5770 	  avgScore:108
gen.#31 	meanS:  2.4694 	  avgScore:110
gen.#32 	meanS:  2.9003 	  avgScore:111
gen.#33 	meanS:  3.0780 	  avgScore:113
gen.#34 	meanS:  2.5051 	  avgScore:113
gen.#35 	meanS:  2.6660 	  avgScore:111
gen.#36 	meanS:  2.7587 	  avgScore:115
gen.#37 	meanS:  3.7129 	  avgScore:115
gen.#38 	meanS:  3.2483 	  avgScore:110
gen.#39 	meanS:  2.4829 	  avgScore:117
gen.#40 	meanS:  2.8871 	  avgScore:115
gen.#41 	meanS:  2.5327 	  avgScore:116
gen.#42 	meanS:  2.3472 	  avgScore:113
gen.#43 	meanS:  1.8593 	  avgScore:117
gen.#44 	meanS:  1.5365 	  avgScore:119
gen.#45 	meanS:  1.4172 	  avgScore:123
gen.#46 	meanS:  1.1733 	  avgScore:125
gen.#47 	meanS:  1.0750 	  avgScore:120
gen.#48 	meanS:  0.9801 	  avgScore:123
gen.#49 	meanS:  0.7931 	  avgScore:122
