Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS: 76.9132 	  avgScore:0
gen.#1 	meanS: 58.4253 	  avgScore:2
gen.#2 	meanS: 48.8968 	  avgScore:6
gen.#3 	meanS: 42.3606 	  avgScore:9
gen.#4 	meanS: 33.6063 	  avgScore:15
gen.#5 	meanS: 31.6755 	  avgScore:22
gen.#6 	meanS: 25.0683 	  avgScore:30
gen.#7 	meanS: 21.4081 	  avgScore:37
gen.#8 	meanS: 17.1912 	  avgScore:41
gen.#9 	meanS: 14.3055 	  avgScore:50
gen.#10 	meanS: 13.5652 	  avgScore:62
gen.#11 	meanS: 11.0145 	  avgScore:65
gen.#12 	meanS:  9.6826 	  avgScore:71
gen.#13 	meanS:  8.8980 	  avgScore:74
gen.#14 	meanS:  8.0487 	  avgScore:79
gen.#15 	meanS:  6.9740 	  avgScore:81
gen.#16 	meanS:  7.8083 	  avgScore:85
gen.#17 	meanS:  6.9162 	  avgScore:90
gen.#18 	meanS:  6.5861 	  avgScore:94
gen.#19 	meanS:  7.5694 	  avgScore:93
gen.#20 	meanS:  7.4308 	  avgScore:96
gen.#21 	meanS:  6.3725 	  avgScore:98
gen.#22 	meanS:  6.9576 	  avgScore:100
gen.#23 	meanS:  6.0446 	  avgScore:97
gen.#24 	meanS:  5.7846 	  avgScore:102
gen.#25 	meanS:  4.6640 	  avgScore:103
gen.#26 	meanS:  4.3416 	  avgScore:107
gen.#27 	meanS:  3.8243 	  avgScore:108
gen.#28 	meanS:  4.6901 	  avgScore:106
gen.#29 	meanS:  4.0644 	  avgScore:102
gen.#30 	meanS:  4.0300 	  avgScore:103
gen.#31 	meanS:  3.4824 	  avgScore:106
gen.#32 	meanS:  2.7582 	  avgScore:105
gen.#33 	meanS:  2.6355 	  avgScore:108
gen.#34 	meanS:  2.3475 	  avgScore:106
gen.#35 	meanS:  3.3154 	  avgScore:107
gen.#36 	meanS:  2.5750 	  avgScore:107
gen.#37 	meanS:  2.3249 	  avgScore:104
gen.#38 	meanS:  1.9645 	  avgScore:107
gen.#39 	meanS:  1.9190 	  avgScore:104
gen.#40 	meanS:  1.8331 	  avgScore:104
gen.#41 	meanS:  1.5886 	  avgScore:106
gen.#42 	meanS:  1.5693 	  avgScore:106
gen.#43 	meanS:  1.4229 	  avgScore:108
gen.#44 	meanS:  3.1473 	  avgScore:108
gen.#45 	meanS:  3.0071 	  avgScore:111
gen.#46 	meanS:  2.9423 	  avgScore:107
gen.#47 	meanS:  3.0205 	  avgScore:108
gen.#48 	meanS:  2.8143 	  avgScore:108
gen.#49 	meanS:  2.1730 	  avgScore:104
