Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS: 83.0035 	  avgScore:0
gen.#1 	meanS: 65.5870 	  avgScore:2
gen.#2 	meanS: 58.7716 	  avgScore:6
gen.#3 	meanS: 57.0888 	  avgScore:12
gen.#4 	meanS: 45.0731 	  avgScore:24
gen.#5 	meanS: 39.3082 	  avgScore:35
gen.#6 	meanS: 32.0878 	  avgScore:44
gen.#7 	meanS: 30.8060 	  avgScore:54
gen.#8 	meanS: 24.5729 	  avgScore:56
gen.#9 	meanS: 20.0694 	  avgScore:69
gen.#10 	meanS: 18.3218 	  avgScore:77
gen.#11 	meanS: 16.6040 	  avgScore:85
gen.#12 	meanS: 14.4754 	  avgScore:84
gen.#13 	meanS: 13.1278 	  avgScore:88
gen.#14 	meanS: 12.2610 	  avgScore:88
gen.#15 	meanS: 12.5090 	  avgScore:97
gen.#16 	meanS: 11.6552 	  avgScore:95
gen.#17 	meanS: 11.0055 	  avgScore:95
gen.#18 	meanS:  9.2171 	  avgScore:99
gen.#19 	meanS:  7.2119 	  avgScore:101
gen.#20 	meanS:  6.0505 	  avgScore:106
gen.#21 	meanS:  7.0843 	  avgScore:107
gen.#22 	meanS:  6.0282 	  avgScore:109
gen.#23 	meanS:  5.5172 	  avgScore:107
gen.#24 	meanS:  4.8206 	  avgScore:110
gen.#25 	meanS:  4.3539 	  avgScore:110
gen.#26 	meanS:  3.8453 	  avgScore:114
gen.#27 	meanS:  3.4291 	  avgScore:112
gen.#28 	meanS:  2.7768 	  avgScore:112
gen.#29 	meanS:  3.0027 	  avgScore:113
gen.#30 	meanS:  2.3260 	  avgScore:116
gen.#31 	meanS:  1.9880 	  avgScore:119
gen.#32 	meanS:  1.7613 	  avgScore:119
gen.#33 	meanS:  1.5349 	  avgScore:116
gen.#34 	meanS:  1.5424 	  avgScore:119
gen.#35 	meanS:  1.4097 	  avgScore:116
gen.#36 	meanS:  1.4438 	  avgScore:116
gen.#37 	meanS:  1.2251 	  avgScore:122
gen.#38 	meanS:  2.5545 	  avgScore:122
gen.#39 	meanS:  2.4269 	  avgScore:118
gen.#40 	meanS:  2.5485 	  avgScore:122
gen.#41 	meanS:  2.6163 	  avgScore:119
gen.#42 	meanS:  2.5551 	  avgScore:119
gen.#43 	meanS:  2.6603 	  avgScore:120
gen.#44 	meanS:  1.9473 	  avgScore:122
gen.#45 	meanS:  2.0456 	  avgScore:126
gen.#46 	meanS:  3.4713 	  avgScore:123
gen.#47 	meanS:  3.2875 	  avgScore:121
gen.#48 	meanS:  3.1003 	  avgScore:121
gen.#49 	meanS:  2.9591 	  avgScore:122
