Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 92.0037 	  avgScore:0
gen.#1 	meanS: 77.7097 	  avgScore:4
gen.#2 	meanS: 61.7852 	  avgScore:12
gen.#3 	meanS: 53.6503 	  avgScore:22
gen.#4 	meanS: 43.8100 	  avgScore:29
gen.#5 	meanS: 41.1085 	  avgScore:36
gen.#6 	meanS: 34.1742 	  avgScore:39
gen.#7 	meanS: 31.2386 	  avgScore:43
gen.#8 	meanS: 27.0392 	  avgScore:47
gen.#9 	meanS: 23.5242 	  avgScore:57
gen.#10 	meanS: 22.7089 	  avgScore:57
gen.#11 	meanS: 20.3946 	  avgScore:58
gen.#12 	meanS: 20.3384 	  avgScore:60
gen.#13 	meanS: 23.4844 	  avgScore:65
gen.#14 	meanS: 21.1022 	  avgScore:67
gen.#15 	meanS: 18.9918 	  avgScore:73
gen.#16 	meanS: 16.9719 	  avgScore:74
gen.#17 	meanS: 15.2210 	  avgScore:80
gen.#18 	meanS: 13.1865 	  avgScore:81
gen.#19 	meanS: 13.2234 	  avgScore:83
gen.#20 	meanS: 12.7078 	  avgScore:85
gen.#21 	meanS: 13.7128 	  avgScore:88
gen.#22 	meanS: 12.4616 	  avgScore:87
gen.#23 	meanS: 11.6464 	  avgScore:90
gen.#24 	meanS: 12.5059 	  avgScore:89
gen.#25 	meanS: 11.2191 	  avgScore:91
gen.#26 	meanS:  9.6937 	  avgScore:96
gen.#27 	meanS: 12.8010 	  avgScore:95
gen.#28 	meanS: 15.8550 	  avgScore:95
gen.#29 	meanS: 13.6542 	  avgScore:92
gen.#30 	meanS: 13.8100 	  avgScore:90
gen.#31 	meanS: 14.3070 	  avgScore:95
gen.#32 	meanS: 12.9620 	  avgScore:98
gen.#33 	meanS: 13.7442 	  avgScore:99
gen.#34 	meanS: 13.1744 	  avgScore:98
gen.#35 	meanS: 13.9537 	  avgScore:101
gen.#36 	meanS: 12.5806 	  avgScore:100
gen.#37 	meanS: 11.7798 	  avgScore:104
gen.#38 	meanS: 10.4385 	  avgScore:102
gen.#39 	meanS: 10.8250 	  avgScore:103
gen.#40 	meanS:  9.1888 	  avgScore:100
gen.#41 	meanS:  7.4002 	  avgScore:107
gen.#42 	meanS:  7.4799 	  avgScore:103
gen.#43 	meanS:  6.9342 	  avgScore:107
gen.#44 	meanS:  6.4358 	  avgScore:108
gen.#45 	meanS:  5.5967 	  avgScore:110
gen.#46 	meanS:  6.4985 	  avgScore:110
gen.#47 	meanS:  6.0083 	  avgScore:111
gen.#48 	meanS:  7.2859 	  avgScore:113
gen.#49 	meanS:  7.8169 	  avgScore:109
