Training data for 10*20 table, 119 basis functions 
---------------------------

gen.#0 	meanS: 90.3209 	  avgScore:0
gen.#1 	meanS: 91.4043 	  avgScore:1
gen.#2 	meanS: 82.7939 	  avgScore:3
gen.#3 	meanS: 73.0306 	  avgScore:8
gen.#4 	meanS: 66.6742 	  avgScore:14
gen.#5 	meanS: 60.8339 	  avgScore:24
gen.#6 	meanS: 58.1912 	  avgScore:33
gen.#7 	meanS: 53.6923 	  avgScore:40
gen.#8 	meanS: 48.4861 	  avgScore:48
gen.#9 	meanS: 45.3568 	  avgScore:53
gen.#10 	meanS: 43.3499 	  avgScore:59
gen.#11 	meanS: 39.7276 	  avgScore:64
gen.#12 	meanS: 36.1585 	  avgScore:65
gen.#13 	meanS: 32.6078 	  avgScore:68
gen.#14 	meanS: 32.0328 	  avgScore:73
gen.#15 	meanS: 29.5775 	  avgScore:77
gen.#16 	meanS: 27.9601 	  avgScore:78
gen.#17 	meanS: 26.5945 	  avgScore:82
gen.#18 	meanS: 24.9267 	  avgScore:85
gen.#19 	meanS: 23.1643 	  avgScore:89
gen.#20 	meanS: 26.9963 	  avgScore:88
gen.#21 	meanS: 25.1904 	  avgScore:90
gen.#22 	meanS: 26.7915 	  avgScore:94
gen.#23 	meanS: 25.0413 	  avgScore:96
gen.#24 	meanS: 22.0160 	  avgScore:97
gen.#25 	meanS: 21.7575 	  avgScore:101
gen.#26 	meanS: 21.2666 	  avgScore:103
gen.#27 	meanS: 21.8621 	  avgScore:103
gen.#28 	meanS: 20.9238 	  avgScore:101
gen.#29 	meanS: 20.9144 	  avgScore:100
gen.#30 	meanS: 16.7904 	  avgScore:103
gen.#31 	meanS: 15.3037 	  avgScore:100
gen.#32 	meanS: 16.0555 	  avgScore:104
gen.#33 	meanS: 13.7343 	  avgScore:101
gen.#34 	meanS: 12.8830 	  avgScore:101
gen.#35 	meanS: 13.5832 	  avgScore:106
gen.#36 	meanS: 11.8705 	  avgScore:105
gen.#37 	meanS: 10.5578 	  avgScore:104
gen.#38 	meanS:  9.5617 	  avgScore:107
gen.#39 	meanS:  8.5239 	  avgScore:109
gen.#40 	meanS:  7.4760 	  avgScore:110
gen.#41 	meanS:  6.8569 	  avgScore:111
gen.#42 	meanS:  6.5342 	  avgScore:111
gen.#43 	meanS:  6.0460 	  avgScore:108
gen.#44 	meanS:  5.3177 	  avgScore:112
gen.#45 	meanS:  4.8893 	  avgScore:113
gen.#46 	meanS:  4.3026 	  avgScore:114
gen.#47 	meanS:  3.9646 	  avgScore:114
gen.#48 	meanS:  3.5345 	  avgScore:113
gen.#49 	meanS:  8.1553 	  avgScore:115
