Training data for 10*20 table, 119 basis functions 
---------------------------

gen.#0 	meanS: 93.7313 	  avgScore:0
gen.#1 	meanS: 88.4005 	  avgScore:1
gen.#2 	meanS: 80.9214 	  avgScore:4
gen.#3 	meanS: 76.9781 	  avgScore:8
gen.#4 	meanS: 68.4798 	  avgScore:14
gen.#5 	meanS: 67.7443 	  avgScore:18
gen.#6 	meanS: 61.9802 	  avgScore:23
gen.#7 	meanS: 57.6089 	  avgScore:29
gen.#8 	meanS: 50.5756 	  avgScore:31
gen.#9 	meanS: 51.2769 	  avgScore:42
gen.#10 	meanS: 50.3251 	  avgScore:48
gen.#11 	meanS: 44.6057 	  avgScore:53
gen.#12 	meanS: 40.1151 	  avgScore:54
gen.#13 	meanS: 36.1900 	  avgScore:59
gen.#14 	meanS: 33.3028 	  avgScore:67
gen.#15 	meanS: 30.2736 	  avgScore:69
gen.#16 	meanS: 27.1867 	  avgScore:69
gen.#17 	meanS: 24.4678 	  avgScore:74
gen.#18 	meanS: 22.3603 	  avgScore:80
gen.#19 	meanS: 21.7467 	  avgScore:76
gen.#20 	meanS: 21.4901 	  avgScore:83
gen.#21 	meanS: 19.8629 	  avgScore:84
gen.#22 	meanS: 18.8562 	  avgScore:87
gen.#23 	meanS: 17.3543 	  avgScore:85
gen.#24 	meanS: 16.0036 	  avgScore:91
gen.#25 	meanS: 14.4183 	  avgScore:90
gen.#26 	meanS: 13.7044 	  avgScore:96
gen.#27 	meanS: 11.8710 	  avgScore:95
gen.#28 	meanS: 11.4322 	  avgScore:96
gen.#29 	meanS: 10.9254 	  avgScore:99
gen.#30 	meanS: 11.7847 	  avgScore:102
gen.#31 	meanS: 11.3346 	  avgScore:103
gen.#32 	meanS: 10.1231 	  avgScore:103
gen.#33 	meanS:  8.6836 	  avgScore:107
gen.#34 	meanS:  9.3362 	  avgScore:106
gen.#35 	meanS:  8.6757 	  avgScore:110
gen.#36 	meanS:  7.8455 	  avgScore:112
gen.#37 	meanS:  7.4164 	  avgScore:115
gen.#38 	meanS:  6.9692 	  avgScore:115
gen.#39 	meanS:  6.3811 	  avgScore:118
gen.#40 	meanS:  5.8284 	  avgScore:117
gen.#41 	meanS:  5.6611 	  avgScore:119
gen.#42 	meanS:  4.9800 	  avgScore:121
gen.#43 	meanS:  4.8525 	  avgScore:119
gen.#44 	meanS:  4.7857 	  avgScore:121
gen.#45 	meanS:  4.7265 	  avgScore:119
gen.#46 	meanS:  4.4534 	  avgScore:123
gen.#47 	meanS:  4.3767 	  avgScore:123
gen.#48 	meanS:  4.8557 	  avgScore:126
gen.#49 	meanS:  4.2998 	  avgScore:129
