Training data for 10*20 table, 119 basis functions 
---------------------------

gen.#0 	meanS: 92.5208 	  avgScore:0
gen.#1 	meanS: 92.5581 	  avgScore:1
gen.#2 	meanS: 83.7751 	  avgScore:5
gen.#3 	meanS: 75.8802 	  avgScore:12
gen.#4 	meanS: 68.5216 	  avgScore:18
gen.#5 	meanS: 62.9916 	  avgScore:24
gen.#6 	meanS: 58.9473 	  avgScore:31
gen.#7 	meanS: 56.0911 	  avgScore:37
gen.#8 	meanS: 56.6363 	  avgScore:42
gen.#9 	meanS: 50.1434 	  avgScore:49
gen.#10 	meanS: 45.8847 	  avgScore:61
gen.#11 	meanS: 46.8947 	  avgScore:65
gen.#12 	meanS: 45.5964 	  avgScore:73
gen.#13 	meanS: 43.2007 	  avgScore:74
gen.#14 	meanS: 40.0391 	  avgScore:79
gen.#15 	meanS: 41.6419 	  avgScore:85
gen.#16 	meanS: 39.2688 	  avgScore:89
gen.#17 	meanS: 37.7303 	  avgScore:94
gen.#18 	meanS: 35.4578 	  avgScore:96
gen.#19 	meanS: 36.1866 	  avgScore:98
gen.#20 	meanS: 36.6769 	  avgScore:95
gen.#21 	meanS: 34.7039 	  avgScore:101
gen.#22 	meanS: 30.8925 	  avgScore:103
gen.#23 	meanS: 28.9216 	  avgScore:107
gen.#24 	meanS: 26.2531 	  avgScore:112
gen.#25 	meanS: 23.1230 	  avgScore:114
gen.#26 	meanS: 20.7855 	  avgScore:120
gen.#27 	meanS: 18.0605 	  avgScore:118
gen.#28 	meanS: 17.9329 	  avgScore:122
gen.#29 	meanS: 16.0023 	  avgScore:121
gen.#30 	meanS: 13.6715 	  avgScore:126
gen.#31 	meanS: 12.6301 	  avgScore:123
gen.#32 	meanS: 11.4315 	  avgScore:127
gen.#33 	meanS: 11.5283 	  avgScore:128
gen.#34 	meanS: 12.1260 	  avgScore:130
gen.#35 	meanS: 12.3747 	  avgScore:129
gen.#36 	meanS: 11.2868 	  avgScore:134
gen.#37 	meanS: 10.1317 	  avgScore:132
gen.#38 	meanS:  9.1066 	  avgScore:133
gen.#39 	meanS:  9.5595 	  avgScore:133
gen.#40 	meanS:  9.3934 	  avgScore:131
gen.#41 	meanS:  8.3142 	  avgScore:131
gen.#42 	meanS:  8.6466 	  avgScore:133
gen.#43 	meanS:  8.2252 	  avgScore:133
gen.#44 	meanS:  9.1011 	  avgScore:137
gen.#45 	meanS:  8.5826 	  avgScore:134
gen.#46 	meanS:  8.1676 	  avgScore:139
gen.#47 	meanS:  7.2112 	  avgScore:140
gen.#48 	meanS:  7.3659 	  avgScore:143
gen.#49 	meanS:  8.0596 	  avgScore:143
