Training data for 10*20 table, 119 basis functions 
---------------------------

gen.#0 	meanS: 94.4612 	  avgScore:0
gen.#1 	meanS: 88.9169 	  avgScore:1
gen.#2 	meanS: 78.8830 	  avgScore:6
gen.#3 	meanS: 70.8802 	  avgScore:12
gen.#4 	meanS: 68.8857 	  avgScore:19
gen.#5 	meanS: 63.4854 	  avgScore:26
gen.#6 	meanS: 57.5275 	  avgScore:35
gen.#7 	meanS: 54.5221 	  avgScore:43
gen.#8 	meanS: 49.6376 	  avgScore:47
gen.#9 	meanS: 50.2746 	  avgScore:52
gen.#10 	meanS: 45.8435 	  avgScore:58
gen.#11 	meanS: 46.8528 	  avgScore:68
gen.#12 	meanS: 40.0334 	  avgScore:74
gen.#13 	meanS: 37.9650 	  avgScore:78
gen.#14 	meanS: 34.6445 	  avgScore:86
gen.#15 	meanS: 34.4748 	  avgScore:89
gen.#16 	meanS: 34.7389 	  avgScore:91
gen.#17 	meanS: 33.4122 	  avgScore:93
gen.#18 	meanS: 35.3649 	  avgScore:97
gen.#19 	meanS: 34.1614 	  avgScore:102
gen.#20 	meanS: 36.9631 	  avgScore:103
gen.#21 	meanS: 34.8878 	  avgScore:108
gen.#22 	meanS: 36.3963 	  avgScore:110
gen.#23 	meanS: 31.9578 	  avgScore:113
gen.#24 	meanS: 35.2666 	  avgScore:116
gen.#25 	meanS: 37.8653 	  avgScore:115
gen.#26 	meanS: 36.8491 	  avgScore:118
gen.#27 	meanS: 36.7058 	  avgScore:119
gen.#28 	meanS: 29.0898 	  avgScore:121
gen.#29 	meanS: 26.7900 	  avgScore:121
gen.#30 	meanS: 26.9788 	  avgScore:128
gen.#31 	meanS: 22.9140 	  avgScore:124
gen.#32 	meanS: 19.9848 	  avgScore:125
gen.#33 	meanS: 18.5057 	  avgScore:127
gen.#34 	meanS: 15.5677 	  avgScore:129
gen.#35 	meanS: 13.7783 	  avgScore:133
gen.#36 	meanS: 13.0637 	  avgScore:134
gen.#37 	meanS: 11.3303 	  avgScore:133
gen.#38 	meanS:  9.7508 	  avgScore:139
gen.#39 	meanS:  9.4480 	  avgScore:133
gen.#40 	meanS:  8.0133 	  avgScore:137
gen.#41 	meanS:  7.3425 	  avgScore:134
gen.#42 	meanS:  6.6303 	  avgScore:136
gen.#43 	meanS: 13.4412 	  avgScore:141
gen.#44 	meanS: 12.9960 	  avgScore:132
gen.#45 	meanS: 11.6865 	  avgScore:133
gen.#46 	meanS: 11.9498 	  avgScore:130
gen.#47 	meanS: 10.9615 	  avgScore:136
gen.#48 	meanS: 11.1407 	  avgScore:133
gen.#49 	meanS: 11.4850 	  avgScore:131
