Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 79.2231 	  avgScore:0
gen.#1 	meanS: 73.2572 	  avgScore:3
gen.#2 	meanS: 63.6803 	  avgScore:12
gen.#3 	meanS: 55.5865 	  avgScore:22
gen.#4 	meanS: 52.7404 	  avgScore:37
gen.#5 	meanS: 52.5407 	  avgScore:43
gen.#6 	meanS: 46.3733 	  avgScore:57
gen.#7 	meanS: 38.5390 	  avgScore:68
gen.#8 	meanS: 36.0225 	  avgScore:75
gen.#9 	meanS: 30.7544 	  avgScore:84
gen.#10 	meanS: 26.5451 	  avgScore:90
gen.#11 	meanS: 25.2789 	  avgScore:96
gen.#12 	meanS: 23.3476 	  avgScore:98
gen.#13 	meanS: 20.9304 	  avgScore:94
gen.#14 	meanS: 18.3839 	  avgScore:97
gen.#15 	meanS: 16.7061 	  avgScore:105
gen.#16 	meanS: 15.7320 	  avgScore:101
gen.#17 	meanS: 14.0296 	  avgScore:109
gen.#18 	meanS: 13.7444 	  avgScore:106
gen.#19 	meanS: 19.1561 	  avgScore:110
gen.#20 	meanS: 17.2977 	  avgScore:110
gen.#21 	meanS: 16.1178 	  avgScore:110
gen.#22 	meanS: 16.2857 	  avgScore:110
gen.#23 	meanS: 15.7060 	  avgScore:110
gen.#24 	meanS: 15.6905 	  avgScore:111
gen.#25 	meanS: 16.1444 	  avgScore:113
gen.#26 	meanS: 12.9711 	  avgScore:117
gen.#27 	meanS: 14.1620 	  avgScore:118
gen.#28 	meanS: 13.5624 	  avgScore:118
gen.#29 	meanS: 12.3440 	  avgScore:120
gen.#30 	meanS: 11.9105 	  avgScore:121
gen.#31 	meanS: 10.8335 	  avgScore:125
gen.#32 	meanS:  9.9848 	  avgScore:124
gen.#33 	meanS:  7.9487 	  avgScore:123
gen.#34 	meanS:  6.9369 	  avgScore:124
gen.#35 	meanS:  9.5373 	  avgScore:126
gen.#36 	meanS:  8.2793 	  avgScore:125
gen.#37 	meanS:  7.1596 	  avgScore:127
gen.#38 	meanS:  6.4838 	  avgScore:128
gen.#39 	meanS:  5.8825 	  avgScore:127
gen.#40 	meanS:  5.4155 	  avgScore:130
gen.#41 	meanS:  7.4271 	  avgScore:124
gen.#42 	meanS:  6.0082 	  avgScore:130
gen.#43 	meanS:  5.1673 	  avgScore:131
gen.#44 	meanS:  5.3652 	  avgScore:129
gen.#45 	meanS:  8.3950 	  avgScore:129
gen.#46 	meanS:  8.8203 	  avgScore:130
gen.#47 	meanS:  8.0820 	  avgScore:131
gen.#48 	meanS:  7.9725 	  avgScore:131
gen.#49 	meanS:  7.5573 	  avgScore:128
