Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS: 81.4833 	  avgScore:0
gen.#1 	meanS: 72.2836 	  avgScore:1
gen.#2 	meanS: 53.1688 	  avgScore:4
gen.#3 	meanS: 45.5531 	  avgScore:7
gen.#4 	meanS: 38.4370 	  avgScore:13
gen.#5 	meanS: 32.6803 	  avgScore:20
gen.#6 	meanS: 27.5877 	  avgScore:27
gen.#7 	meanS: 22.1732 	  avgScore:36
gen.#8 	meanS: 17.5486 	  avgScore:45
gen.#9 	meanS: 15.8781 	  avgScore:55
gen.#10 	meanS: 14.4035 	  avgScore:61
gen.#11 	meanS: 12.7617 	  avgScore:68
gen.#12 	meanS: 11.1915 	  avgScore:69
gen.#13 	meanS: 10.0323 	  avgScore:74
gen.#14 	meanS: 10.2568 	  avgScore:77
gen.#15 	meanS:  8.0483 	  avgScore:82
gen.#16 	meanS:  8.7853 	  avgScore:86
gen.#17 	meanS:  9.4371 	  avgScore:88
gen.#18 	meanS:  8.1666 	  avgScore:93
gen.#19 	meanS:  6.6057 	  avgScore:94
gen.#20 	meanS:  5.4385 	  avgScore:96
gen.#21 	meanS:  6.2271 	  avgScore:96
gen.#22 	meanS: 11.0185 	  avgScore:98
gen.#23 	meanS: 10.2786 	  avgScore:93
gen.#24 	meanS: 15.7566 	  avgScore:103
gen.#25 	meanS: 16.5637 	  avgScore:103
gen.#26 	meanS: 15.2994 	  avgScore:103
gen.#27 	meanS: 14.7755 	  avgScore:104
gen.#28 	meanS: 13.1253 	  avgScore:108
gen.#29 	meanS: 14.7216 	  avgScore:108
gen.#30 	meanS: 13.3199 	  avgScore:109
gen.#31 	meanS: 12.4529 	  avgScore:109
gen.#32 	meanS:  9.7164 	  avgScore:114
gen.#33 	meanS:  9.4618 	  avgScore:113
gen.#34 	meanS: 11.1818 	  avgScore:115
gen.#35 	meanS: 10.1180 	  avgScore:112
gen.#36 	meanS:  8.1814 	  avgScore:115
gen.#37 	meanS:  7.9953 	  avgScore:117
gen.#38 	meanS:  6.9595 	  avgScore:116
gen.#39 	meanS:  9.3951 	  avgScore:118
gen.#40 	meanS:  8.0506 	  avgScore:118
gen.#41 	meanS:  8.0470 	  avgScore:119
gen.#42 	meanS:  6.0805 	  avgScore:120
gen.#43 	meanS:  6.0274 	  avgScore:124
gen.#44 	meanS:  5.8207 	  avgScore:122
gen.#45 	meanS:  5.2707 	  avgScore:119
gen.#46 	meanS:  5.2989 	  avgScore:121
gen.#47 	meanS:  4.0892 	  avgScore:124
gen.#48 	meanS:  6.6950 	  avgScore:122
gen.#49 	meanS:  6.2716 	  avgScore:119
