Training data for 10*20 table, 119 basis functions 
---------------------------

gen.#0 	meanS: 91.8518 	  avgScore:0
gen.#1 	meanS: 83.0855 	  avgScore:1
gen.#2 	meanS: 73.7891 	  avgScore:5
gen.#3 	meanS: 73.5177 	  avgScore:10
gen.#4 	meanS: 68.4331 	  avgScore:14
gen.#5 	meanS: 61.8805 	  avgScore:21
gen.#6 	meanS: 58.3741 	  avgScore:30
gen.#7 	meanS: 58.1999 	  avgScore:37
gen.#8 	meanS: 51.9378 	  avgScore:47
gen.#9 	meanS: 50.2052 	  avgScore:50
gen.#10 	meanS: 46.2445 	  avgScore:57
gen.#11 	meanS: 44.2793 	  avgScore:60
gen.#12 	meanS: 43.1352 	  avgScore:65
gen.#13 	meanS: 40.5465 	  avgScore:73
gen.#14 	meanS: 38.8548 	  avgScore:79
gen.#15 	meanS: 34.6132 	  avgScore:83
gen.#16 	meanS: 31.2627 	  avgScore:89
gen.#17 	meanS: 30.7955 	  avgScore:96
gen.#18 	meanS: 26.6115 	  avgScore:101
gen.#19 	meanS: 25.2421 	  avgScore:102
gen.#20 	meanS: 27.3420 	  avgScore:101
gen.#21 	meanS: 22.6200 	  avgScore:100
gen.#22 	meanS: 21.1453 	  avgScore:107
gen.#23 	meanS: 20.7467 	  avgScore:102
gen.#24 	meanS: 20.0701 	  avgScore:108
gen.#25 	meanS: 18.9635 	  avgScore:110
gen.#26 	meanS: 18.8959 	  avgScore:114
gen.#27 	meanS: 19.6104 	  avgScore:116
gen.#28 	meanS: 18.6304 	  avgScore:117
gen.#29 	meanS: 16.7401 	  avgScore:118
gen.#30 	meanS: 14.5587 	  avgScore:120
gen.#31 	meanS: 14.2623 	  avgScore:126
gen.#32 	meanS: 13.9033 	  avgScore:124
gen.#33 	meanS: 12.2148 	  avgScore:130
gen.#34 	meanS: 10.3841 	  avgScore:131
gen.#35 	meanS:  9.1840 	  avgScore:131
gen.#36 	meanS:  8.4544 	  avgScore:134
gen.#37 	meanS:  8.0252 	  avgScore:134
gen.#38 	meanS:  7.5818 	  avgScore:137
gen.#39 	meanS:  6.7538 	  avgScore:137
gen.#40 	meanS:  7.2224 	  avgScore:136
gen.#41 	meanS:  6.5704 	  avgScore:135
gen.#42 	meanS:  6.7196 	  avgScore:140
gen.#43 	meanS:  6.5731 	  avgScore:136
gen.#44 	meanS:  6.5481 	  avgScore:141
gen.#45 	meanS:  6.2064 	  avgScore:134
gen.#46 	meanS:  5.5357 	  avgScore:139
gen.#47 	meanS:  4.8589 	  avgScore:138
gen.#48 	meanS:  4.1211 	  avgScore:141
gen.#49 	meanS:  4.1922 	  avgScore:142
