Training data for 10*20 table, 22 basis functions 
---------------------------

gen.#0 	meanS: 80.1694 	  avgScore:0
gen.#1 	meanS: 66.0319 	  avgScore:1
gen.#2 	meanS: 67.0712 	  avgScore:5
gen.#3 	meanS: 53.9740 	  avgScore:11
gen.#4 	meanS: 45.9063 	  avgScore:23
gen.#5 	meanS: 37.9689 	  avgScore:28
gen.#6 	meanS: 33.9812 	  avgScore:37
gen.#7 	meanS: 29.6055 	  avgScore:46
gen.#8 	meanS: 26.0083 	  avgScore:55
gen.#9 	meanS: 22.5594 	  avgScore:60
gen.#10 	meanS: 20.9292 	  avgScore:66
gen.#11 	meanS: 17.8168 	  avgScore:73
gen.#12 	meanS: 17.0613 	  avgScore:75
gen.#13 	meanS: 16.5620 	  avgScore:77
gen.#14 	meanS: 13.1999 	  avgScore:83
gen.#15 	meanS: 12.9304 	  avgScore:89
gen.#16 	meanS: 11.8830 	  avgScore:90
gen.#17 	meanS: 13.0877 	  avgScore:92
gen.#18 	meanS:  8.9535 	  avgScore:96
gen.#19 	meanS:  7.6862 	  avgScore:102
gen.#20 	meanS: 13.1576 	  avgScore:106
gen.#21 	meanS: 13.4069 	  avgScore:101
gen.#22 	meanS: 12.4548 	  avgScore:105
gen.#23 	meanS: 11.6403 	  avgScore:108
gen.#24 	meanS: 11.0980 	  avgScore:106
gen.#25 	meanS: 12.4312 	  avgScore:112
gen.#26 	meanS: 13.5142 	  avgScore:109
gen.#27 	meanS: 12.5661 	  avgScore:112
gen.#28 	meanS: 21.9037 	  avgScore:114
gen.#29 	meanS: 23.5269 	  avgScore:104
gen.#30 	meanS: 19.8204 	  avgScore:109
gen.#31 	meanS: 18.3550 	  avgScore:114
gen.#32 	meanS: 18.6475 	  avgScore:116
gen.#33 	meanS: 20.4445 	  avgScore:113
gen.#34 	meanS: 18.3173 	  avgScore:117
gen.#35 	meanS: 18.1087 	  avgScore:118
gen.#36 	meanS: 13.7632 	  avgScore:118
gen.#37 	meanS: 10.1610 	  avgScore:119
gen.#38 	meanS:  8.5252 	  avgScore:124
gen.#39 	meanS:  7.6383 	  avgScore:127
gen.#40 	meanS:  5.5356 	  avgScore:128
gen.#41 	meanS:  5.1601 	  avgScore:131
gen.#42 	meanS:  4.8345 	  avgScore:129
gen.#43 	meanS:  8.1106 	  avgScore:130
gen.#44 	meanS:  8.0074 	  avgScore:127
gen.#45 	meanS:  6.9264 	  avgScore:128
gen.#46 	meanS:  5.1288 	  avgScore:129
gen.#47 	meanS:  4.6792 	  avgScore:130
gen.#48 	meanS:  4.3025 	  avgScore:132
gen.#49 	meanS:  4.3382 	  avgScore:131
