Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 90.3045 	  avgScore:0
gen.#1 	meanS: 70.9234 	  avgScore:4
gen.#2 	meanS: 62.7124 	  avgScore:12
gen.#3 	meanS: 54.8637 	  avgScore:19
gen.#4 	meanS: 46.3081 	  avgScore:30
gen.#5 	meanS: 38.3702 	  avgScore:39
gen.#6 	meanS: 33.5214 	  avgScore:47
gen.#7 	meanS: 29.9680 	  avgScore:52
gen.#8 	meanS: 28.9377 	  avgScore:56
gen.#9 	meanS: 28.0535 	  avgScore:61
gen.#10 	meanS: 24.8281 	  avgScore:65
gen.#11 	meanS: 20.5297 	  avgScore:70
gen.#12 	meanS: 17.9391 	  avgScore:75
gen.#13 	meanS: 17.8330 	  avgScore:75
gen.#14 	meanS: 17.1411 	  avgScore:75
gen.#15 	meanS: 16.7962 	  avgScore:75
gen.#16 	meanS: 15.5213 	  avgScore:72
gen.#17 	meanS: 12.7207 	  avgScore:72
gen.#18 	meanS: 11.6674 	  avgScore:77
gen.#19 	meanS: 11.1126 	  avgScore:78
gen.#20 	meanS:  9.6490 	  avgScore:76
gen.#21 	meanS:  7.8879 	  avgScore:78
gen.#22 	meanS:  7.4696 	  avgScore:81
gen.#23 	meanS:  7.6051 	  avgScore:79
gen.#24 	meanS:  7.2814 	  avgScore:77
gen.#25 	meanS:  6.8537 	  avgScore:81
gen.#26 	meanS:  6.5783 	  avgScore:84
gen.#27 	meanS:  6.2281 	  avgScore:85
gen.#28 	meanS:  5.8958 	  avgScore:83
gen.#29 	meanS:  7.0657 	  avgScore:85
gen.#30 	meanS:  6.2529 	  avgScore:87
gen.#31 	meanS:  5.9858 	  avgScore:84
gen.#32 	meanS:  5.7808 	  avgScore:83
gen.#33 	meanS:  5.5004 	  avgScore:86
gen.#34 	meanS:  5.0568 	  avgScore:86
gen.#35 	meanS:  5.4547 	  avgScore:86
gen.#36 	meanS:  6.8533 	  avgScore:84
gen.#37 	meanS:  6.4731 	  avgScore:82
gen.#38 	meanS:  5.8541 	  avgScore:86
gen.#39 	meanS:  5.2728 	  avgScore:85
gen.#40 	meanS:  4.0471 	  avgScore:87
gen.#41 	meanS:  4.8015 	  avgScore:88
gen.#42 	meanS:  5.2810 	  avgScore:89
gen.#43 	meanS:  4.6501 	  avgScore:89
gen.#44 	meanS:  6.6383 	  avgScore:89
gen.#45 	meanS:  6.1290 	  avgScore:88
gen.#46 	meanS:  8.1555 	  avgScore:87
gen.#47 	meanS:  7.6800 	  avgScore:86
gen.#48 	meanS:  7.2179 	  avgScore:87
gen.#49 	meanS:  6.5492 	  avgScore:87
