Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 93.3980 	  avgScore:0
gen.#1 	meanS: 75.1304 	  avgScore:3
gen.#2 	meanS: 62.3097 	  avgScore:10
gen.#3 	meanS: 53.0842 	  avgScore:16
gen.#4 	meanS: 48.1939 	  avgScore:25
gen.#5 	meanS: 39.0382 	  avgScore:31
gen.#6 	meanS: 41.2347 	  avgScore:44
gen.#7 	meanS: 33.8794 	  avgScore:52
gen.#8 	meanS: 30.5665 	  avgScore:57
gen.#9 	meanS: 27.5274 	  avgScore:61
gen.#10 	meanS: 25.0688 	  avgScore:68
gen.#11 	meanS: 24.5278 	  avgScore:73
gen.#12 	meanS: 22.2720 	  avgScore:79
gen.#13 	meanS: 18.1675 	  avgScore:82
gen.#14 	meanS: 15.8481 	  avgScore:87
gen.#15 	meanS: 15.4109 	  avgScore:90
gen.#16 	meanS: 15.5969 	  avgScore:90
gen.#17 	meanS: 14.5283 	  avgScore:93
gen.#18 	meanS: 13.8271 	  avgScore:94
gen.#19 	meanS: 14.7673 	  avgScore:92
gen.#20 	meanS: 11.2988 	  avgScore:96
gen.#21 	meanS:  9.4638 	  avgScore:96
gen.#22 	meanS:  7.7644 	  avgScore:99
gen.#23 	meanS:  6.5012 	  avgScore:98
gen.#24 	meanS:  6.3128 	  avgScore:98
gen.#25 	meanS:  6.8190 	  avgScore:96
gen.#26 	meanS:  7.0876 	  avgScore:96
gen.#27 	meanS:  7.5911 	  avgScore:100
gen.#28 	meanS:  7.4239 	  avgScore:100
gen.#29 	meanS:  5.9637 	  avgScore:102
gen.#30 	meanS:  4.7668 	  avgScore:99
gen.#31 	meanS:  5.6004 	  avgScore:100
gen.#32 	meanS:  4.6265 	  avgScore:102
gen.#33 	meanS:  4.6277 	  avgScore:101
gen.#34 	meanS:  4.7384 	  avgScore:98
gen.#35 	meanS:  4.1821 	  avgScore:102
gen.#36 	meanS:  3.8175 	  avgScore:101
gen.#37 	meanS:  4.8328 	  avgScore:105
gen.#38 	meanS:  4.7260 	  avgScore:101
gen.#39 	meanS:  5.4712 	  avgScore:98
gen.#40 	meanS:  5.2609 	  avgScore:99
gen.#41 	meanS:  4.4775 	  avgScore:102
gen.#42 	meanS:  6.4432 	  avgScore:101
gen.#43 	meanS:  6.3888 	  avgScore:101
gen.#44 	meanS:  4.9547 	  avgScore:100
gen.#45 	meanS:  7.0943 	  avgScore:99
gen.#46 	meanS:  6.4648 	  avgScore:97
gen.#47 	meanS:  5.6965 	  avgScore:101
gen.#48 	meanS:  4.5821 	  avgScore:104
gen.#49 	meanS:  6.2401 	  avgScore:103
