Training data for 10*20 table, 29 basis functions 
---------------------------

gen.#0 	meanS: 97.8824 	  avgScore:0
gen.#1 	meanS: 86.5906 	  avgScore:4
gen.#2 	meanS: 71.4122 	  avgScore:13
gen.#3 	meanS: 58.1550 	  avgScore:22
gen.#4 	meanS: 53.8945 	  avgScore:31
gen.#5 	meanS: 49.6231 	  avgScore:34
gen.#6 	meanS: 42.3070 	  avgScore:46
gen.#7 	meanS: 36.9945 	  avgScore:55
gen.#8 	meanS: 35.6270 	  avgScore:59
gen.#9 	meanS: 32.7678 	  avgScore:68
gen.#10 	meanS: 29.3215 	  avgScore:77
gen.#11 	meanS: 27.8947 	  avgScore:79
gen.#12 	meanS: 27.0829 	  avgScore:80
gen.#13 	meanS: 26.9379 	  avgScore:86
gen.#14 	meanS: 22.8103 	  avgScore:88
gen.#15 	meanS: 17.5178 	  avgScore:94
gen.#16 	meanS: 16.2533 	  avgScore:93
gen.#17 	meanS: 14.1430 	  avgScore:93
gen.#18 	meanS: 13.7271 	  avgScore:99
gen.#19 	meanS: 11.2269 	  avgScore:104
gen.#20 	meanS: 10.1078 	  avgScore:104
gen.#21 	meanS:  9.7316 	  avgScore:107
gen.#22 	meanS:  9.1920 	  avgScore:108
gen.#23 	meanS:  8.4079 	  avgScore:109
gen.#24 	meanS:  9.1685 	  avgScore:114
gen.#25 	meanS:  8.5149 	  avgScore:114
gen.#26 	meanS:  7.1831 	  avgScore:114
gen.#27 	meanS:  6.0993 	  avgScore:116
gen.#28 	meanS:  6.1044 	  avgScore:117
gen.#29 	meanS:  5.4584 	  avgScore:118
gen.#30 	meanS:  5.5354 	  avgScore:118
gen.#31 	meanS:  5.0111 	  avgScore:118
gen.#32 	meanS:  5.2457 	  avgScore:120
gen.#33 	meanS:  4.9347 	  avgScore:118
gen.#34 	meanS:  4.1701 	  avgScore:120
gen.#35 	meanS:  3.3624 	  avgScore:123
gen.#36 	meanS:  2.5570 	  avgScore:124
gen.#37 	meanS:  2.2220 	  avgScore:121
gen.#38 	meanS:  2.1556 	  avgScore:125
gen.#39 	meanS:  2.1030 	  avgScore:126
gen.#40 	meanS:  1.7784 	  avgScore:127
gen.#41 	meanS:  1.5046 	  avgScore:127
gen.#42 	meanS:  2.7149 	  avgScore:128
gen.#43 	meanS:  2.3831 	  avgScore:126
gen.#44 	meanS:  8.6145 	  avgScore:124
gen.#45 	meanS:  7.3807 	  avgScore:115
gen.#46 	meanS:  6.8998 	  avgScore:117
gen.#47 	meanS:  6.5295 	  avgScore:114
gen.#48 	meanS:  5.5817 	  avgScore:118
gen.#49 	meanS:  4.3536 	  avgScore:117
